track_id,area,class
6,5445.316476693012,car
11,4061.000396846632,car
14,7973.0576779895955,car
27,16026.379640494459,car
33,39641.03334013651,car
33,42670.98374335345,car
36,7827.07966530045,car
38,18528.744506712126,car
42,6504.547908861747,car
47,68559.1309065617,car
52,14160.611575433642,car
54,62240.88513018739,car
65,7330.402125022656,car
67,63503.57361704248,car
76,12066.26079132235,car
80,8285.040114129322,car
85,51469.03861269895,car
92,17276.285786513512,car
96,8335.360771571432,car
106,30606.15875926302,car
116,13645.086621892759,car
123,36692.72736327475,car
125,20733.479005102654,car
162,9255.0277429543,car
166,9656.309848517916,car
178,16902.56608567383,car
198,4629.236172526431,car
198,4694.482652852171,car
206,5318.264443681645,car
210,57806.82793327319,car
279,18198.495432975942,car
288,108326.43321078023,car
312,17792.276791093416,car
339,11588.499646975959,car
348,144652.66527061627,car
350,157813.6366752206,car
360,160930.4846556013,car
365,9014.9041974248,car
367,86047.28432035723,car
368,10700.885547777665,car
373,182656.78643522298,car
381,107669.22451586739,car
402,4258.034234652467,car
417,13292.461894118354,car
418,4349.656169159844,car
420,186879.1352122792,car
437,5794.114725430154,car
442,4629.342531604814,car
446,7977.162438409585,car
475,12358.959224752667,car
475,12576.215295354903,car
482,10513.606097340638,car
493,18120.988364469024,car
495,11592.51917876539,car
495,11971.268914991915,car
510,6608.0043289559635,car
513,11894.55918061983,car
514,90273.62327478011,car
517,148638.857419146,car
538,157896.18171726525,car
554,23828.001891481104,car
557,5523.230782511309,car
557,5624.5305505089855,car
579,10459.848119903621,car
589,11593.547021358128,car
601,7448.51674784347,car
614,6373.793002940703,car
616,158660.6059362218,car
619,9336.846738754457,car
627,252162.93039378463,car
639,38805.142074358024,car
640,189527.46631654332,car
654,4517.220170379744,car
678,101581.32144757498,car
696,6440.018260675552,car
701,77923.30185192809,car
702,6944.65749218057,car
708,6765.65464156606,car
750,94321.75502681683,car
751,4800.452557041225,car
772,15259.579088054124,car
802,60179.67021611108,car
803,4034.864513940961,car
803,4106.351203663096,car
832,144485.42038950443,car
833,127844.42935462031,car
848,63530.37760529656,car
851,5188.387847099199,car
859,4695.108961494603,car
866,76883.03076973885,car
880,5627.382464879833,car
891,4136.288497829764,car
902,12526.41022955292,car
904,152567.48723427902,car
909,9767.70101557968,car
911,137343.14967105893,car
962,8177.747394343184,car
963,8953.062964444614,car
968,19005.96375374803,car
968,20620.655874097403,car
1008,5756.36435097477,car
1010,13605.11923568229,car
1012,9522.948279431166,car
1018,14836.957842751608,car
1023,19853.45944743286,car
1054,6645.3961468696825,car
1071,29469.477199106976,car
1078,4083.6578123373693,car
1078,4048.423532477412,car
1097,14429.492419450755,car
1105,225862.82457173482,car
1119,3902.0258742296455,car
1125,14246.829880398189,car
1133,16398.303651662478,car
1142,10520.986248238325,car
1147,11864.783892119985,car
1147,11985.436999033353,car
1178,23208.559809667033,car
1178,24107.15448967054,car
1203,146289.15283622956,car
1216,7194.75485967746,car
1223,9982.262942788808,car
1234,5067.82854996837,car
1244,26954.958722513566,car
1260,139179.84305174195,car
1277,17682.601152794756,car
1278,32311.920391557287,car
1290,32324.139921670434,car
1311,4480.256389430689,car
1322,9037.811624843707,car
1327,3928.001096413485,car
1331,8666.769765372623,car
1333,44751.11182887028,car
1334,13662.772950927052,car
1348,32598.081714774908,car
1360,19244.289124780902,car
1374,19178.52182821873,car
1402,108859.59608113613,car
1409,15576.087090595967,car
1412,17818.21142189567,car
1431,6980.146986787629,car
1431,7006.082890062378,car
1460,12853.286975807394,car
1477,6710.537486899272,car
1483,13228.28086681914,car
1519,15257.839235320234,car
1522,5177.958313178977,car
1540,18787.187131265626,car
1560,119706.72619079433,car
1570,8934.054490972581,car
1577,7719.26955964074,car
1581,9927.632531141215,car
1620,12815.730889113353,car
1625,7310.309163349244,car
1655,5429.072867621232,car
1658,4558.1499660760355,car
1679,4015.02649998543,car
1687,6604.064714818535,car
1697,3378.357844896366,car
1701,4997.580788781452,car
1705,4723.868833972016,car
1731,4405.075793786571,car
1738,22671.499109133758,car
1750,109413.77209920443,car
1750,117489.8864947014,car
1775,46833.191155697525,car
1786,13221.043461960217,car
1823,28978.65113175325,car
1835,3271.736674724059,car
1858,20790.44156045761,car
1863,5275.3461142946,car
1881,92400.17688401685,car
1884,8850.852242948857,car
1890,7581.034298301075,car
1917,64690.80717102798,car
1949,39203.21125654645,car
1950,169109.09199290615,car
1950,179882.63574795728,car
1962,14227.486722929116,car
1978,9080.9930994526,car
2016,3960.4567465988516,car
2033,6494.735322206946,car
2091,15186.860095522476,car
2091,15361.899857651764,car
2117,7873.626611718139,car
2130,15238.52656419555,car
2160,19138.861650593637,car
2173,10463.812388985001,car
2187,32409.694868095234,car
2187,34437.59022445237,car
2204,16553.4114913222,car
2269,5059.666691329165,car
2292,7674.063104776673,car
2301,5801.505679406907,car
2320,12451.551268292113,car
2332,13202.035498292404,car
2350,74761.33155039958,car
2407,31076.019704679915,car
2443,9507.359112283293,car
2529,9034.244358095457,car
2559,5039.068287924582,car
2562,24483.90895187876,car
2562,25285.17816779473,car
2564,5405.062000224568,car
2606,78060.16587195848,car
2632,15567.427837905552,car
2699,21084.626905398054,car
2699,21680.518550696743,car
2704,7156.032206786579,car
2713,8087.420365044989,car
2713,8413.111290582558,car
2753,26425.64671902628,car
2768,19489.569751022962,car
2774,17824.878689083194,car
2774,18223.854778804005,car
2788,26596.58566915434,car
2813,6345.853256738022,car
2861,16851.01096270639,car
2897,20423.505708269462,car
2905,4855.8310535766095,car
2908,6730.032496102933,car
2912,14908.47346675581,car
2951,226248.99569705434,car
2984,8392.926597915692,car
2995,183982.28601844545,car
3034,7638.254508266922,car
3037,23976.24043485535,car
3062,7106.438494380169,car
3064,38527.99160758533,car
